"milk_id_animal";"milk_milk_volume";"milk_time_started";"milk_date";"milk_time";"milk_period";"time_arrive"
"1";"6.02";;"2020-10-14";"09:30:09";"2";"09:30:10"
"1";"5.52";;"2020-10-15";"09:27:17";"2";"09:27:19"
"1";"2.12";;"2020-10-15";"17:32:50";"3";"05:32:51"
"1";"8.17";;"2020-10-16";"17:34:31";"3";"05:34:33"
"1";"8.05";;"2020-10-17";"09:22:03";"2";"09:22:04"
"1";"4.34";;"2020-10-22";"09:22:21";"2";"09:22:22"
"1";"8.49";;"2020-10-23";"08:01:42";"2";"08:01:43"
"1";"10";;"2020-10-24";"08:02:01";"2";"08:02:02"
"1";"10.69";;"2020-10-25";"08:36:34";"2";"08:36:35"
"1";"8.42";;"2020-10-27";"08:14:14";"2";"08:14:16"
"1";"7.92";;"2020-10-28";"07:54:29";"1";"07:54:29"
"1";"10.49";;"2020-10-30";"08:23:16";"2";"08:23:17"
"1";"11.15";;"2020-10-31";"14:55:31";"2";"02:55:33"
"1";"10.34";;"2020-11-02";"09:33:21";"2";"09:33:21"
"1";"8.34";;"2020-11-03";"08:51:23";"2";"08:51:25"
"2";"6.71";;"2020-10-14";"09:20:20";"2";"09:20:21"
"2";"7.2";;"2020-10-15";"09:15:30";"2";"09:15:32"
"2";"5.32";;"2020-10-15";"17:23:01";"3";"05:23:02"
"2";"10.11";;"2020-10-16";"17:18:24";"3";"05:18:25"
"2";"11.5";;"2020-10-17";"09:08:29";"2";"09:08:31"
"2";"7.21";;"2020-10-22";"09:11:29";"2";"09:11:30"
"2";"3.2";;"2020-10-22";"16:51:54";"3";"04:51:55"
"2";"7.29";;"2020-10-23";"07:40:20";"1";"07:40:22"
"2";"7.56";;"2020-10-24";"08:11:50";"2";"08:11:52"
"2";"7.64";;"2020-10-25";"08:21:38";"2";"08:21:39"
"2";"7.6";;"2020-10-27";"07:48:50";"1";"07:48:52"
"2";"6.54";;"2020-10-28";"07:37:30";"1";"07:37:31"
"2";"9.85";;"2020-10-30";"08:01:20";"2";"08:01:21"
"2";"12.2";;"2020-10-31";"14:38:11";"2";"02:38:12"
"2";"8.91";;"2020-11-02";"09:18:02";"2";"09:18:01"
"2";"10.94";;"2020-11-03";"08:35:28";"2";"08:35:30"
"3";"6.12";;"2020-10-14";"09:26:35";"2";"09:26:38"
"3";"5.25";;"2020-10-15";"09:22:05";"2";"09:22:07"
"3";"0.64";;"2020-10-15";"17:28:05";"3";"05:28:06"
"3";"2.12";;"2020-10-16";"17:25:35";"3";"05:25:36"
"3";"0.57";;"2020-10-17";"09:12:25";"2";"09:12:27"
"3";"4.05";;"2020-10-22";"09:16:45";"2";"09:16:47"
"3";"6.4";;"2020-10-23";"07:48:51";"1";"07:48:52"
"3";"10.92";;"2020-10-24";"08:20:00";"2";"08:20:01"
"3";"5.46";;"2020-10-25";"08:25:39";"2";"08:25:39"
"3";"7.63";;"2020-10-27";"08:02:28";"2";"08:02:29"
"3";"8.35";;"2020-10-28";"07:46:36";"1";"07:46:37"
"3";"7.14";;"2020-10-30";"08:13:14";"2";"08:13:16"
"3";"10.56";;"2020-10-31";"14:45:39";"2";"02:45:40"
"3";"10.48";;"2020-11-02";"09:23:29";"2";"09:23:28"
"3";"9.78";;"2020-11-03";"08:40:41";"2";"08:40:42"
